# x_m,y_m,w_tr_right_m,w_tr_left_m
5.9935,-16.5708,1.8000,1.8000
5.9935,-16.5208,1.8000,1.8000
5.9935,-16.4708,1.8000,1.8000
5.9935,-16.4208,1.8000,1.8000
5.9935,-16.3708,1.8000,1.8000
5.9435,-16.3208,1.8500,1.8500
5.9435,-16.2708,1.8500,1.8500
5.9435,-16.2208,1.8500,1.8500
5.9435,-16.1708,1.8500,1.8500
5.9435,-16.1208,1.8500,1.8500
5.9435,-16.0708,1.8506,1.8506
5.9435,-16.0208,1.8526,1.8526
5.9435,-15.9708,1.8558,1.8558
5.9435,-15.9208,1.8602,1.8602
5.9435,-15.8708,1.8660,1.8660
5.9435,-15.8208,1.8729,1.8729
5.9435,-15.7708,1.8812,1.8812
5.8935,-15.7208,1.9396,1.9396
5.8935,-15.6708,1.9500,1.9500
5.8935,-15.6208,1.9597,1.9597
5.8935,-15.5708,1.9652,1.9652
5.8935,-15.5208,1.9718,1.9718
5.8935,-15.4708,1.9797,1.9797
5.8935,-15.4208,1.9887,1.9887
5.8935,-15.3708,1.9988,1.9988
5.8935,-15.3208,2.0054,2.0054
5.8935,-15.2708,2.0095,2.0095
5.8935,-15.2208,2.0148,2.0148
5.8935,-15.1708,2.0213,2.0213
5.8935,-15.1208,2.0290,2.0290
5.8935,-15.0708,2.0378,2.0378
5.8935,-15.0208,2.0477,2.0477
5.8435,-14.9708,2.0000,2.0000
5.8435,-14.9208,2.0000,2.0000
5.8435,-14.8708,2.0006,2.0006
5.8435,-14.8208,2.0024,2.0024
5.8435,-14.7708,2.0024,2.0024
5.8435,-14.7208,2.0006,2.0006
5.8435,-14.6708,2.0000,2.0000
5.8435,-14.6208,2.0000,2.0000
5.8435,-14.5708,1.9988,1.9988
5.8435,-14.5208,1.9887,1.9887
5.8435,-14.4708,1.9797,1.9797
5.8435,-14.4208,1.9718,1.9718
5.8435,-14.3708,1.9652,1.9652
5.8435,-14.3208,1.9597,1.9597
5.8435,-14.2708,1.9555,1.9555
5.8435,-14.2208,1.9524,1.9524
5.8435,-14.1708,1.9506,1.9506
5.8435,-14.1208,1.9500,1.9500
5.8435,-14.0708,1.9500,1.9500
5.8435,-14.0208,1.9500,1.9500
5.8435,-13.9708,1.9500,1.9500
5.8435,-13.9208,1.9500,1.9500
5.8935,-13.8708,2.0000,2.0000
5.8935,-13.8208,2.0000,2.0000
5.8935,-13.7708,2.0000,2.0000
5.8935,-13.7208,2.0000,2.0000
5.9435,-13.6708,2.0500,2.0500
5.9435,-13.6208,2.0500,2.0500
5.9435,-13.5708,2.0500,2.0500
5.9935,-13.5208,2.1000,2.1000
5.9935,-13.4708,2.1000,2.1000
6.0435,-13.4208,2.1506,2.1506
6.0935,-13.3708,2.2022,2.2022
6.0935,-13.3208,2.2049,2.2049
6.1435,-13.2708,2.2585,2.2585
6.1935,-13.2208,2.2409,2.2409
6.1935,-13.1708,2.2585,2.2585
6.1935,-13.1208,2.2770,2.2770
6.2435,-13.0708,2.2505,2.2505
6.2935,-13.0208,2.2243,2.2243
6.2935,-12.9708,2.2409,2.2409
6.3435,-12.9208,2.2119,2.2119
6.3435,-12.8708,2.2308,2.2308
6.3435,-12.8208,2.2505,2.2505
6.3935,-12.7708,2.2243,2.2243
6.4435,-12.7208,2.1940,2.1940
6.4435,-12.6708,2.2119,2.2119
6.4435,-12.6208,2.2308,2.2308
6.4935,-12.5708,2.2049,2.2049
6.4935,-12.5208,2.2259,2.2259
6.5435,-12.4708,2.2033,2.2033
6.5435,-12.4208,2.2259,2.2259
6.5435,-12.3708,2.2479,2.2479
6.5935,-12.3208,2.2243,2.2243
6.5935,-12.2708,2.2409,2.2409
6.6435,-12.2208,2.2119,2.2119
6.6435,-12.1708,2.2308,2.2308
6.6935,-12.1208,2.2049,2.2049
6.6935,-12.0708,2.2259,2.2259
6.7435,-12.0208,2.2033,2.2033
6.7435,-11.9708,2.2259,2.2259
6.7435,-11.9208,2.2259,2.2259
6.7935,-11.8708,2.2259,2.2259
6.7935,-11.8208,2.2259,2.2259
6.8435,-11.7708,2.2259,2.2259
6.8435,-11.7208,2.2259,2.2259
6.8935,-11.6708,2.2265,2.2265
6.8935,-11.6208,2.2259,2.2259
6.9435,-11.5708,2.2324,2.2324
6.9435,-11.5208,2.2259,2.2259
6.9435,-11.4708,2.2033,2.2033
6.9935,-11.4208,2.2259,2.2259
6.9935,-11.3708,2.2033,2.2033
7.0435,-11.3208,2.2259,2.2259
7.0435,-11.2708,2.2049,2.2049
7.0935,-11.2208,2.2308,2.2308
7.0935,-11.1708,2.2119,2.2119
7.1435,-11.1208,2.2324,2.2324
7.1935,-11.0708,2.2505,2.2505
7.2435,-11.0208,2.2585,2.2585
7.2435,-10.9708,2.2479,2.2479
7.2935,-10.9208,2.2712,2.2712
7.2935,-10.8708,2.2505,2.2505
7.3435,-10.8208,2.2770,2.2770
7.3935,-10.7708,2.2817,2.2817
7.4435,-10.7208,2.2717,2.2717
7.4435,-10.6708,2.2712,2.2712
7.4935,-10.6208,2.2754,2.2754
7.5435,-10.5708,2.2817,2.2817
7.5935,-10.5208,2.2717,2.2717
7.5935,-10.4708,2.2601,2.2601
7.6435,-10.4208,2.2712,2.2712
7.6935,-10.3708,2.2754,2.2754
7.7435,-10.3208,2.2754,2.2754
7.7935,-10.2708,2.2712,2.2712
7.7935,-10.2208,2.2601,2.2601
7.8435,-10.1708,2.2712,2.2712
7.8935,-10.1208,2.2754,2.2754
7.9435,-10.0708,2.2754,2.2754
7.9435,-10.0208,2.2505,2.2505
7.9935,-9.9708,2.2601,2.2601
8.0435,-9.9208,2.2717,2.2717
8.0935,-9.8708,2.2817,2.2817
8.1435,-9.8208,2.2901,2.2901
8.1935,-9.7708,2.2817,2.2817
8.1935,-9.7208,2.2717,2.2717
8.2435,-9.6708,2.2817,2.2817
8.2935,-9.6208,2.2901,2.2901
8.3435,-9.5708,2.3005,2.3005
8.3435,-9.5208,2.2717,2.2717
8.3935,-9.4708,2.2854,2.2854
8.4435,-9.4208,2.3005,2.3005
8.4935,-9.3708,2.3130,2.3130
8.5435,-9.3208,2.3274,2.3274
8.5935,-9.2708,2.3398,2.3398
8.6435,-9.2208,2.3398,2.3398
8.6435,-9.1708,2.3135,2.3135
8.6935,-9.1208,2.3207,2.3207
8.7435,-9.0708,2.3300,2.3300
8.7935,-9.0208,2.3413,2.3413
8.8435,-8.9708,2.3546,2.3546
8.8935,-8.9208,2.3698,2.3698
8.9435,-8.8708,2.3749,2.3749
